SAMPLE_ID SAMPLE_LOC RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z
90 I10 50.196078 75.294118 100.000000 45.804196 49.505749 101.777182
91 A11 50.196078 87.843137 0.000000 35.559190 57.896673 9.302895
92 B11 50.196078 87.843137 12.549020 35.819902 58.000941 10.676077
93 C11 50.196078 87.843137 25.098039 36.484632 58.266792 14.177235
94 D11 50.196078 87.843137 37.647059 37.670585 58.741100 20.423699
95 E11 50.196078 87.843137 50.196078 39.455713 59.455041 29.826037
96 F11 50.196078 87.843137 62.745098 41.904779 60.434517 42.725369
97 G11 50.196078 87.843137 75.294118 45.074358 61.702152 59.419667
98 H11 50.196078 87.843137 87.843137 49.014650 63.278026 80.173346
99 I11 50.196078 87.843137 100.000000 53.610389 65.116037 104.379283
100 A12 50.196078 100.000000 0.000000 44.663899 76.103645 12.337841
101 B12 50.196078 100.000000 12.549020 44.924612 76.207914 13.711023
102 C12 50.196078 100.000000 25.098039 45.589341 76.473765 17.212181
103 D12 50.196078 100.000000 37.647059 46.775295 76.948073 23.458645
104 E12 50.196078 100.000000 50.196078 48.560422 77.662014 32.860983
105 F12 50.196078 100.000000 62.745098 51.009489 78.641489 45.760316
106 G12 50.196078 100.000000 75.294118 54.179068 79.909125 62.454613
107 H12 50.196078 100.000000 87.843137 58.119360 81.484998 83.208292
108 I12 50.196078 100.000000 100.000000 62.715099 83.323010 107.414230
