SAMPLE_ID SAMPLE_LOC RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z
90 R5 0.000000 37.647059 100.000000 22.234127 15.584096 96.470718
91 A6 12.549020 37.647059 0.000000 4.778572 8.671848 1.422240
92 B6 12.549020 37.647059 12.549020 5.039284 8.776117 2.795421
93 C6 12.549020 37.647059 25.098039 5.704014 9.041968 6.296580
94 D6 12.549020 37.647059 37.647059 6.889967 9.516276 12.543044
95 E6 12.549020 37.647059 50.196078 8.675095 10.230217 21.945382
96 F6 12.549020 37.647059 62.745098 11.124162 11.209692 34.844714
97 G6 12.549020 37.647059 75.294118 14.293740 12.477328 51.539012
98 H6 12.549020 37.647059 87.843137 18.234033 14.053202 72.292691
99 I6 12.549020 37.647059 100.000000 22.829771 15.891213 96.498628
100 J6 25.098039 37.647059 0.000000 6.297266 9.454894 1.493402
101 K6 25.098039 37.647059 12.549020 6.557978 9.559163 2.866584
102 L6 25.098039 37.647059 25.098039 7.222708 9.825014 6.367742
103 M6 25.098039 37.647059 37.647059 8.408662 10.299322 12.614206
104 N6 25.098039 37.647059 50.196078 10.193789 11.013262 22.016544
105 O6 25.098039 37.647059 62.745098 12.642856 11.992738 34.915877
106 P6 25.098039 37.647059 75.294118 15.812434 13.260373 51.610174
107 Q6 25.098039 37.647059 87.843137 19.752727 14.836247 72.363853
108 R6 25.098039 37.647059 100.000000 24.348465 16.674258 96.569791
109 A7 0.000000 50.196078 0.000000 7.719480 15.436886 2.573197
110 B7 0.000000 50.196078 12.549020 7.980193 15.541154 3.946379
111 C7 0.000000 50.196078 25.098039 8.644922 15.807005 7.447537
112 D7 0.000000 50.196078 37.647059 9.830876 16.281313 13.694001
113 E7 0.000000 50.196078 50.196078 11.616003 16.995254 23.096339
114 F7 0.000000 50.196078 62.745098 14.065070 17.974730 35.995671
115 G7 0.000000 50.196078 75.294118 17.234649 19.242365 52.689969
116 H7 0.000000 50.196078 87.843137 21.174941 20.818239 73.443648
117 I7 0.000000 50.196078 100.000000 25.770680 22.656250 97.649585
118 J7 12.549020 50.196078 0.000000 8.315124 15.744002 2.601107
119 K7 12.549020 50.196078 12.549020 8.575836 15.848271 3.974289
120 L7 12.549020 50.196078 25.098039 9.240566 16.114122 7.475447
121 M7 12.549020 50.196078 37.647059 10.426520 16.588430 13.721911
122 N7 12.549020 50.196078 50.196078 12.211647 17.302371 23.124250
123 O7 12.549020 50.196078 62.745098 14.660714 18.281846 36.023582
124 P7 12.549020 50.196078 75.294118 17.830293 19.549482 52.717879
125 Q7 12.549020 50.196078 87.843137 21.770585 21.125355 73.471558
126 R7 12.549020 50.196078 100.000000 26.366324 22.963367 97.677496
127 A8 25.098039 50.196078 0.000000 9.833818 16.527048 2.672269
128 B8 25.098039 50.196078 12.549020 10.094531 16.631317 4.045451
129 C8 25.098039 50.196078 25.098039 10.759260 16.897167 7.546610
130 D8 25.098039 50.196078 37.647059 11.945214 17.371476 13.793074
131 E8 25.098039 50.196078 50.196078 13.730341 18.085416 23.195412
132 F8 25.098039 50.196078 62.745098 16.179408 19.064892 36.094744
133 G8 25.098039 50.196078 75.294118 19.348987 20.332527 52.789041
134 H8 25.098039 50.196078 87.843137 23.289279 21.908401 73.542720
135 I8 25.098039 50.196078 100.000000 27.885018 23.746412 97.748658
136 J8 0.000000 62.745098 0.000000 12.571376 25.139372 4.190518
137 K8 0.000000 62.745098 12.549020 12.832088 25.243641 5.563700
138 L8 0.000000 62.745098 25.098039 13.496818 25.509492 9.064858
139 M8 0.000000 62.745098 37.647059 14.682771 25.983800 15.311322
140 N8 0.000000 62.745098 50.196078 16.467899 26.697741 24.713660
141 O8 0.000000 62.745098 62.745098 18.916965 27.677216 37.612993
142 P8 0.000000 62.745098 75.294118 22.086544 28.944852 54.307290
143 Q8 0.000000 62.745098 87.843137 26.026837 30.520725 75.060969
144 R8 0.000000 62.745098 100.000000 30.622575 32.358737 99.266907
145 A9 12.549020 62.745098 0.000000 13.167020 25.446489 4.218428
146 B9 12.549020 62.745098 12.549020 13.427732 25.550758 5.591610
147 C9 12.549020 62.745098 25.098039 14.092462 25.816608 9.092769
148 D9 12.549020 62.745098 37.647059 15.278415 26.290917 15.339233
149 E9 12.549020 62.745098 50.196078 17.063543 27.004857 24.741571
150 F9 12.549020 62.745098 62.745098 19.512609 27.984333 37.640903
151 G9 12.549020 62.745098 75.294118 22.682188 29.251968 54.335200
152 H9 12.549020 62.745098 87.843137 26.622481 30.827842 75.088879
153 I9 12.549020 62.745098 100.000000 31.218219 32.665853 99.294817
154 J9 25.098039 62.745098 0.000000 14.685714 26.229534 4.289591
155 K9 25.098039 62.745098 12.549020 14.946426 26.333803 5.662773
156 L9 25.098039 62.745098 25.098039 15.611156 26.599654 9.163931
157 M9 25.098039 62.745098 37.647059 16.797109 27.073962 15.410395
158 N9 25.098039 62.745098 50.196078 18.582237 27.787903 24.812733
159 O9 25.098039 62.745098 62.745098 21.031303 28.767378 37.712065
